signature_id	signature_name	gene
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	SERPINI2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	AQP12
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CTRC
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	AMY2A5
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	AMY2A2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	GATM
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	HAMP2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	AMY2A4
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PRSS3
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	VTN
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CABP2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	SLC39A5
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PNLIP
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CTRL
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	SYCN
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CELA2A
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	TRY4
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CPB1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	2210010C04RIK
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	RNASE1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	ZG16
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CELA1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CPA1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CEL
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CELA3B
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CPA2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CTRB1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PNLIPRP1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CLPS
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PRSS2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PNLIPRP2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	KLK1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	REG2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	TRY5
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	SPINK1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	GP2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PLA2G1B
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	TRY10
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	REG1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	CUZD1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	REG3A
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PDIA2
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	REG3D
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	1810009J06RIK
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	ERP27
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	AMY1
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	FKBP11
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	TMED6
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	GM10334
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	PSMB10
PANCREAS.Schlesinger20.Acinar.cells	Acinar cells	REG3B
