p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.641877969,0.703,0.387,0,mCAF,MMP11
0,2.594143188,0.941,0.595,0,mCAF,POSTN
0,2.248112476,0.999,0.971,0,mCAF,COL1A1
0,2.169563954,0.424,0.084,0,mCAF,COMP
0,2.147887897,0.771,0.185,0,mCAF,COL10A1
0,2.064780696,0.692,0.162,0,mCAF,COL11A1
0,1.9450888,1,0.989,0,mCAF,COL1A2
0,1.901792158,0.976,0.616,0,mCAF,CTHRC1
0,1.891141937,0.999,0.967,0,mCAF,COL3A1
0,1.728121748,0.935,0.643,0,mCAF,SFRP2
0,1.725514374,0.77,0.518,0,mCAF,ASPN
0,1.66310554,0.987,0.906,0,mCAF,FN1
0,1.662592297,0.822,0.302,0,mCAF,COL8A1
0,1.573383023,0.909,0.636,0,mCAF,COL12A1
0,1.561327422,0.836,0.421,0,mCAF,INHBA
0,1.553152074,0.991,0.77,0,mCAF,LUM
0,1.51268551,0.984,0.712,0,mCAF,VCAN
0,1.471703708,0.566,0.074,0,mCAF,SDC1
0,1.438053836,0.981,0.832,0,mCAF,COL5A2
0,1.40648125,0.991,0.9,0,mCAF,AEBP1
0,1.403949446,0.999,0.986,0,mCAF,SPARC
0,1.384727288,0.929,0.544,0,mCAF,THBS2
0,1.359694855,0.954,0.756,0,mCAF,NBL1
0,1.332385807,0.712,0.389,0,mCAF,SULF1
0,1.317640138,0.926,0.567,0,mCAF,COL5A1
0,1.268496167,0.676,0.273,0,mCAF,ITGBL1
0,1.217818263,0.871,0.454,0,mCAF,MXRA5
0,1.197436646,0.449,0.075,0,mCAF,GJB2
0,1.16314599,0.896,0.528,0,mCAF,CDH11
0,1.153613476,0.952,0.772,0,mCAF,RARRES2
0,1.116521615,0.994,0.799,0,mCAF,COL6A3
0,1.046450087,0.785,0.388,0,mCAF,LOXL1
0,1.039615105,0.71,0.374,0,mCAF,GALNT1
0,1.039098759,0.723,0.225,0,mCAF,MFAP2
0,1.014542052,0.949,0.807,0,mCAF,HTRA1
0,1.013887762,0.886,0.437,0,mCAF,FAP
0,1.006166829,0.931,0.813,0,mCAF,CTGF
0,1.001718124,0.55,0.099,0,mCAF,LRRC15
0,0.990110527,0.628,0.33,0,mCAF,PLAU
0,0.985265361,0.894,0.608,0,mCAF,CLEC11A
0,0.985185434,0.542,0.135,0,mCAF,FNDC1
0,0.970220894,0.659,0.203,0,mCAF,SULF2
0,0.961201869,0.66,0.257,0,mCAF,ADAM12
0,0.938467984,0.963,0.786,0,mCAF,CTSB
0,0.937393247,0.894,0.566,0,mCAF,RCN3
0,0.934799117,0.786,0.472,0,mCAF,ANTXR1
0,0.929453563,0.261,0.039,0,mCAF,GRP
0,0.923567647,0.968,0.718,0,mCAF,CTSK
0,0.913492796,0.877,0.629,0,mCAF,MDK
0,0.906912598,0.461,0.107,0,mCAF,NTM
0,0.906500077,0.557,0.152,0,mCAF,GXYLT2
0,0.89583966,0.816,0.548,0,mCAF,ISLR
0,0.8900873,0.943,0.699,0,mCAF,PPIC
