"","cell_ID","color_label","reannotated_cell_type"
"1","Bcell__yellowgreen__Cy72_CD45_H02_S758_comb","brown","Bcell"
"2","Tcell__green__CY58_1_CD45_B02_S974_comb","turquoise","Tcell"
"3","malignant__turquoise__Cy71_CD45_D08_S524_comb","blue","malignant"
"4","malignant__turquoise__Cy81_FNA_CD45_B01_S301_comb","blue","malignant"
"5","malignant__turquoise__Cy80_II_CD45_B07_S883_comb","blue","malignant"
"6","malignant__turquoise__Cy81_Bulk_CD45_B10_S118_comb","blue","malignant"
"7","Tcell__green__Cy72_CD45_D09_S717_comb","turquoise","Tcell"
"8","Tcell__green__Cy74_CD45_A03_S387_comb","turquoise","Tcell"
"9","malignant__turquoise__Cy71_CD45_B05_S497_comb","blue","malignant"
"10","malignant__turquoise__Cy80_II_CD45_C09_S897_comb","blue","malignant"
"11","Tcell__green__Cy74_CD45_F09_S453_comb","turquoise","Tcell"
"12","Tcell__green__CY58_1_CD45_D03_S999_comb","turquoise","Tcell"
"13","Tcell__green__Cy72_CD45_C01_S697_comb","turquoise","Tcell"
"14","Tcell__green__Cy71_CD45_D07_S523_comb","turquoise","Tcell"
"15","malignant__turquoise__Cy81_FNA_CD45_E05_S341_comb","blue","malignant"
"16","Tcell__green__Cy74_CD45_D04_S424_comb","turquoise","Tcell"
"17","Tcell__green__Cy74_CD45_C11_S419_comb","turquoise","Tcell"
"18","malignant__turquoise__Cy81_Bulk_CD45_E10_S154_comb","blue","malignant"
"19","malignant__turquoise__Cy80_II_CD45_H07_S955_comb","blue","malignant"
"20","malignant__turquoise__Cy81_FNA_CD45_D09_S333_comb","blue","malignant"
"21","malignant__turquoise__Cy71_CD45_E12_S540_comb","blue","malignant"
"22","Tcell__green__Cy81_FNA_CD45_D07_S235_comb","turquoise","Tcell"
"23","Tcell__green__Cy72_CD45_D07_S715_comb","turquoise","Tcell"
"24","Tcell__green__Cy72_CD45_E08_S728_comb","turquoise","Tcell"
"25","Tcell__green__Cy71_CD45_B07_S499_comb","turquoise","Tcell"
"26","malignant__turquoise__Cy71_CD45_G02_S554_comb","blue","malignant"
"27","Tcell__green__Cy71_CD45_E03_S531_comb","turquoise","Tcell"
"28","Tcell__green__Cy74_CD45_H03_S471_comb","turquoise","Tcell"
"29","malignant__turquoise__Cy80_II_CD45_H09_S957_comb","blue","malignant"
"30","Bcell__yellowgreen__Cy72_CD45_D03_S711_comb","brown","Bcell"
"31","malignant__turquoise__Cy80_II_CD45_B11_S887_comb","blue","malignant"
"32","malignant__turquoise__Cy81_Bulk_CD45_E04_S148_comb","blue","malignant"
"33","Tcell__green__CY58_1_CD45_A06_S966_comb","turquoise","Tcell"
"34","malignant__turquoise__Cy80_II_CD45_D11_S911_comb","blue","malignant"
"35","Tcell__green__Cy81_FNA_CD45_A09_S201_comb","turquoise","Tcell"
"36","Tcell__green__Cy81_FNA_CD45_B12_S216_comb","turquoise","Tcell"
"37","Tcell__green__Cy71_CD45_B08_S500_comb","turquoise","Tcell"
"38","malignant__turquoise__Cy81_FNA_CD45_G10_S370_comb","blue","malignant"
"39","malignant__turquoise__Cy71_CD45_E11_S539_comb","blue","malignant"
"40","malignant__turquoise__Cy81_FNA_CD45_C09_S321_comb","blue","malignant"
"41","Tcell__green__CY58_1_CD45_D11_S1007_comb","turquoise","Tcell"
"42","malignant__turquoise__Cy80_II_CD45_G07_S943_comb","blue","malignant"
"43","Tcell__green__Cy72_CD45_F12_S744_comb","turquoise","Tcell"
"44","CAF__red__Cy80_II_CD45_G05_S941_comb","green","CAF"
"45","Tcell__green__Cy72_CD45_C07_S703_comb","turquoise","Tcell"
"46","malignant__turquoise__Cy71_CD45_G08_S560_comb","blue","malignant"
"47","Tcell__green__Cy74_CD45_F07_S451_comb","turquoise","Tcell"
"48","malignant__turquoise__Cy71_CD45_F06_S546_comb","blue","malignant"
"49","Tcell__green__Cy81_FNA_CD45_B04_S208_comb","turquoise","Tcell"
"50","Tcell__green__Cy74_CD45_C02_S410_comb","turquoise","Tcell"
"51","malignant__turquoise__Cy81_Bulk_CD45_D01_S133_comb","green","CAF"
"52","Tcell__green__Cy81_FNA_CD45_G01_S265_comb","turquoise","Tcell"
"53","Tcell__green__Cy81_FNA_CD45_D02_S230_comb","turquoise","Tcell"
"54","malignant__turquoise__Cy81_Bulk_CD45_D10_S142_comb","blue","malignant"
"55","Tcell__green__CY58_1_CD45_A10_S970_comb","turquoise","Tcell"
"56","malignant__turquoise__Cy81_FNA_CD45_C05_S317_comb","blue","malignant"
"57","Tcell__green__Cy72_CD45_D12_S720_comb","turquoise","Tcell"
"58","malignant__turquoise__Cy80_II_CD45_B01_S877_comb","blue","malignant"
"59","Tcell__green__CY58_1_CD45_F11_S1031_comb","turquoise","Tcell"
"60","malignant__turquoise__Cy81_Bulk_CD45_G12_S180_comb","blue","malignant"
"61","Tcell__green__Cy81_FNA_CD45_F01_S253_comb","turquoise","Tcell"
"62","Tcell__green__Cy74_CD45_A08_S392_comb","turquoise","Tcell"
"63","Tcell__green__Cy71_CD45_G06_S558_comb","turquoise","Tcell"
"64","Tcell__green__Cy74_CD45_A04_S388_comb","turquoise","Tcell"
"65","Tcell__green__CY58_1_CD45_B01_S973_comb","turquoise","Tcell"
"66","Tcell__green__CY58_1_CD45_H12_S1056_comb","turquoise","Tcell"
"67","malignant__turquoise__Cy81_FNA_CD45_F02_S350_comb","blue","malignant"
"68","Tcell__green__CY58_1_CD45_F05_S1025_comb","turquoise","Tcell"
"69","malignant__turquoise__Cy71_CD45_H06_S570_comb","turquoise","Tcell"
"70","Tcell__green__CY58_1_CD45_H02_S1046_comb","turquoise","Tcell"
"71","malignant__turquoise__Cy80_II_CD45_B09_S885_comb","blue","malignant"
"72","Bcell__yellowgreen__Cy72_CD45_A07_S679_comb","brown","Bcell"
"73","Tcell__green__Cy74_CD45_G02_S458_comb","turquoise","Tcell"
"74","malignant__turquoise__Cy81_FNA_CD45_H12_S384_comb","blue","malignant"
"75","Tcell__green__Cy72_CD45_G12_S756_comb","turquoise","Tcell"
"76","Tcell__green__Cy72_CD45_B02_S686_comb","turquoise","Tcell"
"77","Tcell__green__CY58_1_CD45_B09_S981_comb","turquoise","Tcell"
"78","malignant__turquoise__Cy81_Bulk_CD45_E08_S152_comb","blue","malignant"
"79","Tcell__green__Cy74_CD45_E04_S436_comb","turquoise","Tcell"
"80","malignant__turquoise__Cy80_II_CD45_G09_S945_comb","blue","malignant"
"81","Tcell__green__Cy81_FNA_CD45_A02_S194_comb","turquoise","Tcell"
"82","Tcell__green__Cy81_FNA_CD45_H12_S288_comb","turquoise","Tcell"
"83","Tcell__green__Cy81_FNA_CD45_A06_S198_comb","turquoise","Tcell"
"84","malignant__turquoise__Cy80_II_CD45_D09_S909_comb","blue","malignant"
"85","Tcell__green__Cy74_CD45_F01_S445_comb","turquoise","Tcell"
"86","malignant__turquoise__Cy71_CD45_D11_S527_comb","blue","malignant"
"87","Tcell__green__Cy74_CD45_D01_S421_comb","turquoise","Tcell"
"88","Bcell__yellowgreen__Cy74_CD45_B08_S404_comb","brown","Bcell"
"89","Tcell__green__Cy72_CD45_B07_S691_comb","turquoise","Tcell"
"90","Tcell__green__Cy81_FNA_CD45_A03_S195_comb","turquoise","Tcell"
"91","Tcell__green__Cy81_FNA_CD45_G02_S266_comb","turquoise","Tcell"
"92","Tcell__green__Cy81_FNA_CD45_D11_S239_comb","turquoise","Tcell"
"93","malignant__turquoise__Cy81_Bulk_CD45_B09_S117_comb","blue","malignant"
"94","Tcell__green__CY58_1_CD45_F10_S1030_comb","turquoise","Tcell"
"95","Tcell__green__Cy81_FNA_CD45_C06_S222_comb","turquoise","Tcell"
"96","Tcell__green__Cy72_CD45_B06_S690_comb","turquoise","Tcell"
"97","malignant__turquoise__Cy71_CD45_G09_S561_comb","blue","malignant"
"98","malignant__turquoise__Cy71_CD45_F11_S551_comb","blue","malignant"
"99","malignant__turquoise__Cy81_FNA_CD45_B10_S310_comb","blue","malignant"
"100","Tcell__green__Cy74_CD45_B03_S399_comb","turquoise","Tcell"
"101","Tcell__green__Cy74_CD45_F08_S452_comb","turquoise","Tcell"
"102","malignant__turquoise__Cy71_CD45_H10_S574_comb","blue","malignant"
"103","Tcell__green__Cy72_CD45_D01_S709_comb","turquoise","Tcell"
"104","Macro__yellow__Cy74_CD45_H08_S476_comb","yellow","Macro"
"105","malignant__turquoise__Cy81_Bulk_CD45_C06_S126_comb","green","CAF"
"106","Tcell__green__Cy74_CD45_G01_S457_comb","turquoise","Tcell"
"107","Tcell__green__Cy74_CD45_F02_S446_comb","turquoise","Tcell"
"108","malignant__turquoise__Cy81_FNA_CD45_H10_S382_comb","blue","malignant"
"109","malignant__turquoise__Cy80_II_CD45_B02_S878_comb","blue","malignant"
"110","Tcell__green__Cy81_FNA_CD45_B08_S212_comb","turquoise","Tcell"
"111","Tcell__green__Cy71_CD45_D12_S528_comb","turquoise","Tcell"
"112","Bcell__yellowgreen__Cy74_CD45_C03_S411_comb","brown","Bcell"
"113","malignant__turquoise__Cy81_FNA_CD45_B11_S311_comb","blue","malignant"
"114","malignant__turquoise__Cy81_Bulk_CD45_B12_S120_comb","blue","malignant"
"115","Tcell__green__Cy74_CD45_H06_S474_comb","turquoise","Tcell"
"116","Tcell__green__Cy72_CD45_H06_S762_comb","turquoise","Tcell"
"117","malignant__turquoise__Cy71_CD45_A10_S490_comb","blue","malignant"
"118","Bcell__yellowgreen__Cy72_CD45_A05_S677_comb","brown","Bcell"
"119","malignant__turquoise__Cy80_II_CD45_F12_S936_comb","blue","malignant"
"120","malignant__turquoise__Cy80_II_CD45_B06_S882_comb","blue","malignant"
"121","malignant__turquoise__Cy71_CD45_F10_S550_comb","blue","malignant"
"122","malignant__turquoise__Cy71_CD45_D09_S525_comb","blue","malignant"
"123","Tcell__green__Cy72_CD45_G01_S745_comb","turquoise","Tcell"
"124","Tcell__green__Cy74_CD45_H12_S480_comb","turquoise","Tcell"
"125","Tcell__green__CY58_1_CD45_G11_S1043_comb","turquoise","Tcell"
"126","Tcell__green__CY58_1_CD45_D04_S1000_comb","turquoise","Tcell"
"127","Tcell__green__Cy72_CD45_A11_S683_comb","turquoise","Tcell"
"128","Tcell__green__Cy81_FNA_CD45_C11_S227_comb","turquoise","Tcell"
"129","Tcell__green__Cy71_CD45_F03_S543_comb","turquoise","Tcell"
"130","malignant__turquoise__Cy80_II_CD45_F07_S931_comb","blue","malignant"
"131","Tcell__green__Cy72_CD45_E10_S730_comb","turquoise","Tcell"
"132","malignant__turquoise__Cy71_CD45_E10_S538_comb","blue","malignant"
"133","Tcell__green__CY58_1_CD45_F09_S1029_comb","turquoise","Tcell"
"134","malignant__turquoise__Cy80_II_CD45_B12_S888_comb","blue","malignant"
"135","Tcell__green__CY58_1_CD45_E05_S1013_comb","turquoise","Tcell"
"136","Bcell__yellowgreen__Cy74_CD45_D08_S428_comb","brown","Bcell"
"137","Tcell__green__CY58_1_CD45_F04_S1024_comb","turquoise","Tcell"
"138","malignant__turquoise__Cy80_II_CD45_A09_S873_comb","blue","malignant"
"139","Tcell__green__CY58_1_CD45_F12_S1032_comb","turquoise","Tcell"
"140","Tcell__green__CY58_1_CD45_G09_S1041_comb","turquoise","Tcell"
"141","Tcell__green__Cy81_FNA_CD45_F04_S256_comb","turquoise","Tcell"
"142","malignant__turquoise__Cy80_II_CD45_F11_S935_comb","blue","malignant"
"143","Tcell__green__Cy74_CD45_G04_S460_comb","turquoise","Tcell"
"144","Tcell__green__CY58_1_CD45_C03_S987_comb","turquoise","Tcell"
"145","malignant__turquoise__Cy81_Bulk_CD45_E03_S147_comb","blue","malignant"
"146","Tcell__green__Cy72_CD45_F05_S737_comb","turquoise","Tcell"
"147","Tcell__green__Cy74_CD45_D03_S423_comb","turquoise","Tcell"
"148","malignant__turquoise__Cy80_II_CD45_D04_S904_comb","blue","malignant"
"149","Tcell__green__Cy74_CD45_G03_S459_comb","turquoise","Tcell"
"150","Tcell__green__Cy81_FNA_CD45_A07_S199_comb","turquoise","Tcell"
"151","malignant__turquoise__Cy71_CD45_B12_S504_comb","blue","malignant"
"152","Tcell__green__Cy72_CD45_B05_S689_comb","turquoise","Tcell"
"153","malignant__turquoise__Cy81_Bulk_CD45_A11_S107_comb","blue","malignant"
"154","Tcell__green__CY58_1_CD45_A07_S967_comb","turquoise","Tcell"
"155","Bcell__yellowgreen__Cy72_CD45_B09_S693_comb","brown","Bcell"
"156","Tcell__green__CY58_1_CD45_F03_S1023_comb","turquoise","Tcell"
"157","malignant__turquoise__Cy71_CD45_E02_S530_comb","blue","malignant"
