"","DE_fc_tumor_over_normal","DE_ml_normal_vs_tumor","DE_p_normal_vs_tumor","p_adjusted_bonferroni","p_adjusted_BH","p_adjusted_BY","gene_symbol"
"ARHGEF10L",-0.276408866869918,11.0139492251016,0.000192831788499998,1,0.000339087647730658,0.00355473211777806,"ARHGEF10L"
"HIF3A",-2.74576868224932,5.59229614668022,3.03206138550136e-17,6.07928307793022e-13,2.11896831803726e-16,2.22136217201998e-15,"HIF3A"
"RNF17",-0.0954247628726287,0.213319325880759,0.305440251469278,1,0.355121892836128,1,"RNF17"
"RNF10",-0.410144325880758,11.7999936907182,7.93963567521234e-17,1.59189695288007e-12,5.16011978243136e-16,5.40946968872208e-15,"RNF10"
"RNF11",-0.923510823170732,10.4985616615854,2.49341236373224e-22,4.99929178928313e-18,6.32831922238016e-21,6.63411945020641e-20,"RNF11"
"RNF13",-0.165007672764228,10.1389059197154,0.00780510521485328,1,0.0115920266339117,0.121521823815993,"RNF13"
"GTF2IP1",0.343526871612466,11.658624411416,1.11179982103494e-05,0.222915864117505,2.20122211120052e-05,0.000230759067439196,"GTF2IP1"
"REM1",-1.23713338414634,4.07224794207317,1.77053679569698e-11,3.54992627537245e-07,5.98739462872735e-11,6.27672052668069e-10,"REM1"
"MTVR2",-0.458850897696477,0.748033087737127,3.52002615735752e-05,0.705765244550183,6.63375547091064e-05,0.000695431514292813,"MTVR2"
"RTN4RL2",0.958848611111111,2.89222430555556,2.04391076830881e-07,0.00409804109045916,4.74694902172959e-07,4.9763334824867e-06,"RTN4RL2"
"C16orf13",0.782083138550137,9.28899766683604,1.1922899422391e-16,2.39054133418939e-12,7.5034004445063e-16,7.8659835388115e-15,"C16orf13"
"C16orf11",0.224346934281843,0.13835639397019,0.00105132763590928,1,0.00171849984509873,0.0180154205989283,"C16orf11"
"FGFR1OP2",-0.134660924796748,8.84091587906504,0.000818259412603715,1,0.00135286286433683,0.0141823658484524,"FGFR1OP2"
"TSKS",-0.685775211720867,1.03627336974932,2.34571996578811e-08,0.000470316853140516,5.89295643579145e-08,6.17771884383531e-07,"TSKS"
"ATRX",0.455493267276424,10.0113856580285,1.27055216241766e-07,0.00254745708564741,3.00054567361066e-07,3.14553955245107e-06,"ATRX"
"PMM2",0.447780462398374,10.6047170604675,1.15208384898462e-09,2.30992811721417e-05,3.26353223681007e-09,3.42123428477336e-08,"PMM2"
"LOC100272146",0.868581258468835,5.52508819021003,1.00905504191795e-14,2.02315535904548e-10,4.91062160339962e-14,5.14791513305873e-13,"LOC100272146"
"ASS1",-0.348533799119242,12.8994672467818,0.101385579243023,1,0.129319986247383,1,"ASS1"
"NCBP1",0.135387957317073,10.3907622713415,0.0156722496573935,1,0.0224834434481067,0.235698997230106,"NCBP1"
"ZNF709",0.0041615768970189,5.74944664210705,0.487099529054122,1,0.538001738419828,1,"ZNF709"
"ZNF708",-0.0168554539295389,6.92414300474255,0.857251141449907,1,0.87755976843647,1,"ZNF708"
"RBM14",0.241337093495936,10.3142856199187,4.19911497081507e-06,0.0841922551648422,8.62890798040814e-06,9.04587841656578e-05,"RBM14"
"NCBP2",0.679724847560976,10.7135063262195,4.19198010488946e-18,8.40492011030337e-14,3.35391863938682e-17,3.51598838460575e-16,"NCBP2"
"DISC1",-0.142294546070461,6.43908199525745,0.377872394633945,1,0.429619592424757,1,"DISC1"
"CAMK1",-0.480021815718158,8.00317201897019,1.12224581966756e-06,0.0225010286843345,2.42757242204445e-06,2.54487879892578e-05,"CAMK1"
"RPL37",0.574137008807588,13.6180099678184,3.6937649277905e-11,7.40599868021994e-07,1.21429720941465e-10,1.27297509057693e-09,"RPL37"
"SPR",-0.171371637872628,10.4146458883808,0.0173311091219141,1,0.0247059180870514,0.258997699004932,"SPR"
"ZNF700",0.103958003048781,8.22487412347561,0.158010366566221,1,0.194505639099504,1,"ZNF700"
"ZNF707",0.601132232384824,7.59308318936314,1.53182843150765e-11,3.07131600517284e-07,5.21357325610736e-11,5.46550616806733e-10,"ZNF707"
