signature_id	same_species_rows	needs_translation_rows	unmapped_rows	translated_rows_pre_collapse	output_gene_rows	split_source_rows	split_added_rows	max_split_size	collapse_output_rows	collapse_removed_rows	max_collapse_size	source_gene_rows_in
CAF.Affo21.iCAF	0	20	2	22	22	1	4	5	0	0	1	20
CAF.Affo21.mesCAF	0	46	4	52	47	6	10	3	4	5	3	46
CAF.Affo21.myCAF	0	21	1	20	20	0	0	1	0	0	1	21
CAF.Cords23.apCAF	0	63	5	63	62	4	5	3	1	1	2	63
CAF.Cords23.dCAF	0	1185	45	1180	1179	25	40	9	1	1	2	1185
CAF.Cords23.hsp.tCAF	0	215	2	224	224	3	11	10	0	0	1	215
CAF.Cords23.iCAF	0	471	15	500	488	18	44	9	11	12	3	471
CAF.Cords23.ifnCAF	0	574	28	674	607	39	128	15	35	67	4	574
CAF.Cords23.mCAF	0	494	17	487	485	9	10	3	2	2	2	494
CAF.Cords23.rCAF	0	305	17	305	301	12	17	5	2	4	4	305
CAF.Cords23.tCAF	0	333	9	342	341	12	18	6	1	1	2	333
CAF.Cords23.vCAF	0	533	30	523	520	7	20	15	1	3	4	533
CAF.Dominguez20.hCAF0TGFB	0	144	5	149	149	5	10	5	0	0	1	144
CAF.Dominguez20.hCAF1early	0	165	9	168	167	6	12	8	1	1	2	165
CAF.Dominguez20.hCAF2il6lif	0	282	9	293	285	14	20	3	4	8	3	282
CAF.Elyada19.iCAF	0	84	2	88	82	4	6	3	5	6	3	84
CAF.Elyada19.myo	0	16	1	15	15	0	0	1	0	0	1	16
CAF.Grout22.apCAF	0	12	1	13	13	1	2	3	0	0	1	12
CAF.Grout22.iCAF	0	13	0	13	13	0	0	1	0	0	1	13
CAF.Grout22.myCAF	0	12	0	12	12	0	0	1	0	0	1	12
CAF.Kieffer20.CAF.S1	0	100	10	92	91	1	2	3	1	1	2	100
CAF.Kieffer20.IFNgamma.iCAF	0	22	1	26	25	3	5	3	1	1	2	22
CAF.Kieffer20.IL.iCAF	0	35	2	36	35	2	3	3	1	1	2	35
CAF.Kieffer20.Normal.Fibroblast	0	131	7	155	146	11	31	9	9	9	2	131
CAF.Kieffer20.TGFbeta.myCAF	0	28	4	24	24	0	0	1	0	0	1	28
CAF.Kieffer20.detox.iCAF	0	26	1	28	28	2	3	3	0	0	1	26
CAF.Kieffer20.ecm.myCAF	0	40	1	39	39	0	0	1	0	0	1	40
CAF.Kieffer20.wound.myCAF	0	34	1	33	33	0	0	1	0	0	1	34
CAF.Neuzillet22.MYH11	0	45	10	35	35	0	0	1	0	0	1	45
CAF.Neuzillet22.PDPN	0	28	7	21	21	0	0	1	0	0	1	28
CAF.Neuzillet22.POSTN	0	45	11	36	36	2	2	2	0	0	1	45
CAF.Neuzillet22.subPOSTN	0	31	10	23	23	2	2	2	0	0	1	31
CAF.Qin23.ECM.CAF	0	169	5	170	166	6	6	2	2	4	4	169
CAF.Qin23.Myofibroblast	0	185	15	206	195	7	36	15	11	11	2	185
CAF.Qin23.epiEMT	0	150	17	162	151	12	29	9	11	11	2	150
CAF.Qin23.fibroEMT	0	103	8	126	115	5	31	15	11	11	2	103
CAF.ReviewLiu26.Chen25.CD24apCAF	0	6	0	6	6	0	0	1	0	0	1	6
CAF.ReviewLiu26.Chen25.CD52apCAF	0	7	0	7	7	0	0	1	0	0	1	7
CAF.ReviewLiu26.Chen25.iCAF	0	5	1	6	6	1	2	3	0	0	1	5
CAF.ReviewLiu26.Chen25.myCAF	0	6	0	6	6	0	0	1	0	0	1	6
CAF.ReviewLiu26.Chen25.pericyte	0	5	0	5	5	0	0	1	0	0	1	5
CAF.ReviewLiu26.Chen25.progenitorFibro	0	5	0	5	5	0	0	1	0	0	1	5
